Data,Otwarcie
2022-11-14,139.91
2022-11-15,147.848
2022-11-16,144.375
2022-11-17,145.923
2022-11-18,146.201
2022-11-21,143.581
2022-11-22,138.918
2022-11-23,137.727
2022-11-24,138.918
2022-11-25,139.91
2022-11-28,138.918
2022-11-29,140.922
2022-11-30,130.464
2022-12-01,131.972
2022-12-02,123.041
2022-12-05,127.685
2022-12-06,127.01
2022-12-07,129.749
2022-12-08,128.003
2022-12-09,126.514
2022-12-12,130.98
2022-12-13,134.433
2022-12-14,136.04
2022-12-15,139.91
2022-12-16,128.3
2022-12-19,131.972
2022-12-20,126.217
2022-12-21,127.01
2022-12-22,128.995
2022-12-23,126.217
2022-12-27,128.995
2022-12-28,126.018
2022-12-29,125.026
2022-12-30,127.01
2023-01-02,128.003
2023-01-03,128.995
2023-01-04,129.59
2023-01-05,126.217
2023-01-09,131.575
2023-01-10,131.238
2023-01-11,137.27
2023-01-12,134.651
2023-01-13,129.193
2023-01-16,131.972
2023-01-17,128.003
2023-01-18,128.221
2023-01-19,130.166
2023-01-20,131.873
2023-01-23,131.515
2023-01-24,134.651
2023-01-25,131.972
2023-01-26,132.329
2023-01-27,133.956
2023-01-30,132.468
2023-01-31,133.202
2023-02-01,138.422
2023-02-02,140.406
2023-02-03,145.844
2023-02-06,144.474
2023-02-07,140.882
2023-02-08,141.458
2023-02-09,141.894
2023-02-10,139.592
2023-02-13,138.521
2023-02-14,139.414
2023-02-15,132.666
2023-02-16,138.084
2023-02-17,137.925
2023-02-20,135.187
2023-02-21,134.949
2023-02-22,130.186
2023-02-23,131.039
2023-02-24,133.103
2023-02-27,128.995
2023-02-28,131.099
2023-03-01,132.825
2023-03-02,130.98
2023-03-03,130.98
2023-03-06,130.98
2023-03-07,131.476
2023-03-08,133.639
2023-03-09,130.98
2023-03-10,129.888
2023-03-13,127.725
2023-03-14,126.058
2023-03-15,128.995
2023-03-16,130.483
2023-03-17,134.155
2023-03-20,128.995
2023-03-21,124.53
2023-03-22,114.548
2023-03-23,111.352
2023-03-24,109.15
2023-03-27,110.638
2023-03-28,113.873
2023-03-29,109.15
2023-03-30,109.368
2023-03-31,119.072
2023-04-03,110.082
2023-04-04,108.753
2023-04-05,108.257
2023-04-06,106.967
2023-04-11,106.47
2023-04-12,104.784
2023-04-13,107.999
2023-04-14,110.043
2023-04-17,110.936
2023-04-18,110.896
2023-04-19,108.534
2023-04-20,108.802
2023-04-21,108.157
2023-04-24,110.539
2023-04-25,109.646
2023-04-26,110.34
2023-04-27,110.737
2023-04-28,113.218
2023-05-02,113.218
2023-05-04,111.035
2023-05-05,111.333
2023-05-08,112.573
2023-05-09,111.333
2023-05-10,111.63
2023-05-11,113.615
2023-05-12,116.095
2023-05-15,115.5
2023-05-16,113.516
2023-05-17,110.34
2023-05-18,109.15
2023-05-19,109.943
2023-05-22,113.119
2023-05-23,117.088
2023-05-24,119.271
2023-05-25,114.111
2023-05-26,114.905
2023-05-29,120.114
2023-05-30,124.133
2023-05-31,121.553
2023-06-01,120.66
2023-06-02,124.034
2023-06-05,128.945
2023-06-06,129.392
2023-06-07,131.773
2023-06-09,130.98
2023-06-12,133
2023-06-13,142.75
2023-06-14,140.45
2023-06-15,159.9
2023-06-16,168.25
2023-06-19,169
2023-06-20,165.75
2023-06-21,156
2023-06-22,154.05
2023-06-23,153.85
2023-06-26,151.2
2023-06-27,152.7
2023-06-28,148
2023-06-29,151.5
2023-06-30,156.5
2023-07-03,155
2023-07-04,155
2023-07-05,151.45
2023-07-06,143
2023-07-07,144.85
2023-07-10,144.2
2023-07-11,145.95
2023-07-12,144.5
2023-07-13,152.55
2023-07-14,154
2023-07-17,153.8
2023-07-18,159.6
2023-07-19,159.8
2023-07-20,158.55
2023-07-21,160
2023-07-24,157.5
2023-07-25,158.55
2023-07-26,158
2023-07-27,158
2023-07-28,164
2023-07-31,164.6
2023-08-01,162.5
2023-08-02,159.6
2023-08-03,158
2023-08-04,163.4
2023-08-07,162.1
2023-08-08,162.25
2023-08-09,160.2
2023-08-10,156.4
2023-08-11,158.1
2023-08-14,156.65
2023-08-16,157
2023-08-17,150
2023-08-18,150
2023-08-21,154.55
2023-08-22,156.5
2023-08-23,157.6
2023-08-24,160.45
2023-08-25,153.5
2023-08-28,157.9
2023-08-29,155
2023-08-30,155.5
2023-08-31,153.2
2023-09-01,147.8
2023-09-04,151
2023-09-05,156.35
2023-09-06,153.7
2023-09-07,151
2023-09-08,149.2
2023-09-11,155.2
2023-09-12,157.35
2023-09-13,156.05
2023-09-14,155.9
2023-09-15,157.2
2023-09-18,154.95
2023-09-19,155.2
2023-09-20,149.8
